stars,comment,date
3.0 out of 5 stars,"









  
  
    
  110rs is the best. My family member is 26 and given quantity 2 pack of 12.tell to seller 6 quantity minimum high level family want one time 10

  
",Reviewed in India on 10 November 2019
3.0 out of 5 stars,"









  
  
    
  As usual.taste maker and quantity day by day decreasing.

  
",Reviewed in India on 2 May 2020
4.0 out of 5 stars,"









  
  
    
  Good flavourGot it as good discount of 30 less from MRP.

  
",Reviewed in India on 9 July 2020
5.0 out of 5 stars,"









  
  
    
  Maggi is good... Packing is very very very very very poor...

  
",Reviewed in India on 22 July 2020
5.0 out of 5 stars,"









  
  
    
  Ordered two times came with perfect package and excellent condition. And price was only 123rs for each. Thanks to amazon prime.

  
",Reviewed in India on 9 July 2019
4.0 out of 5 stars,"









  
  
    
  The best instant noodles in the market. Flavour and taste are quite nice.

  
",Reviewed in India on 15 November 2019
5.0 out of 5 stars,"









  
  
    
  The flavor is excellent and the packaging is also very good. This Brand has a value for money.

  
",Reviewed in India on 20 June 2020
4.0 out of 5 stars,"









  
  
    
  The packing cover of Amazon was torn  that contained Maggi noodles 12 nos. But the Maggie Noodles was intact.This is the first time I have experienced. Please check that this does not happen in future.

  
",Reviewed in India on 2 August 2020
5.0 out of 5 stars,"









  
  
    
  Excellent,Great, I'm fully satisfied withThanks

  
",Reviewed in India on 7 November 2019
2.0 out of 5 stars,"









  
  
    
  I'm disappointed with this purchase. I thought Maggie 2 minute masala noodles would taste good and ordered it. I hate the taste. I recommend buying some other flavour. The masala taste is very bad

  
",Reviewed in India on 16 January 2019
4.0 out of 5 stars,"









  
  
    
  Good presention...Ordered it along with another to make the order value more than 500rs get a free delivery😬. But its worth and useful, especially for a bachelor like me

  
",Reviewed in India on 1 October 2019
1.0 out of 5 stars,"









  
  
    
  Manufacturerd in Oct -19, best before 9 months, and I have received the items in Aug month after the expiry date

  
",Reviewed in India on 4 August 2020
3.0 out of 5 stars,"









  
  
    
  So many packets to manage ,I still have some left ....

  
",Reviewed in India on 17 December 2019
5.0 out of 5 stars,"









  
  
    
  Taste Really Good Love it ..always

  
",Reviewed in India on 4 August 2020
1.0 out of 5 stars,"









  
  
    
  All the noodles were broken completely in all the 12 packs

  
",Reviewed in India on 13 July 2020
5.0 out of 5 stars,"









  
  
    
  This is the good old Maggie everyone knows. Nothing much to describe. Outer packaging could have been better, but product was mostly uncrushed . Pack I got were from Jun 2020, so fresh batch, not old.

  
",Reviewed in India on 19 July 2020
5.0 out of 5 stars,"









  
  
    
  I am satisfied to this product

  
",Reviewed in India on 1 December 2019
