stars,comment,date
4.0 out of 5 stars,"









  
  
    
  It doesn't need any description about quality and taste. We all know about it. The concern is that 25% discount makes it a deal to grab.

  
",Reviewed in India on 11 February 2019
3.0 out of 5 stars,"









  
  
    
  It's something we all know would not be good for health but we still consume in times of helplessness when either there's nothing to eat or just too tired to cook actual food. ""Majboori Ka Naam Gandhiji""

  
",Reviewed in India on 25 September 2019
1.0 out of 5 stars,"









  
  
    
  This rice is NOT Basmati and it's regular pathetic rice. Can't return the product and it's completely fake as the image is different and the received product is different

  
",Reviewed in India on 26 December 2018
1.0 out of 5 stars,"









  
  
    
  ENTIRE SLICE OF MAGGIE FOUND CRUSHED WHEN OPENED. IT'S WASTE OF MONEY NEVER BUY THIS PRODUCT.ALL I WANT IS COMPENSATION FOR THIS CAUSE.JUST DO INITIATE FULL REFUND FOR THIS CAUSE.PLEASE HAVE A LOOK OF IT -(SEE THE SCREENSHOT)

  
",Reviewed in India on 4 August 2020
5.0 out of 5 stars,"









  
  
    
  No one replace this product even after there is spread of varieties

  
",Reviewed in India on 12 August 2020
5.0 out of 5 stars,"









  
  
    
  All over tasty. I ordered 5 packets of Maggie for easily timepass during Quarantine...and amazon delivered it so soon. I have ordered 560 gms of 5 packets 😊

  
",Reviewed in India on 17 May 2020
5.0 out of 5 stars,"









  
  
    
  Nice product and one thing I love is packing. It comes with nice packing for a safety that it did not get back down.

  
",Reviewed in India on 28 June 2019
2.0 out of 5 stars,"









  
  
    
  I got this on bestest price I.e. 45 bucks only. I ordered 4 Packets and I got them in a very bad condition. 2 Packets were torn from one side and the Noddles inside all were completely crushed. Just like somebody crushed them intentionally. So better to buy them offline.

  
",Reviewed in India on 17 August 2018
3.0 out of 5 stars,"









  
  
    
  The packet is too big and thus everything inside breaks..

  
",Reviewed in India on 6 June 2020
1.0 out of 5 stars,"









  
  
    
  Product delivered on 9th May 2020 and expired date of product was April 2020.Fungus found inside the packet.Don't buy without knowing the expiry date.

  
",Reviewed in India on 30 May 2020
1.0 out of 5 stars,"









  
  
    
  Maggie was broken into small pieces... Handling of Maggie was not good.. condition of the Maggie inside was disappointing

  
",Reviewed in India on 21 July 2020
5.0 out of 5 stars,"









  
  
    
  Maggi to Maggi h yaar, iska kya review, very very very very very very very tasty

  
",Reviewed in India on 26 July 2018
